AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,318.139,338.942,330.731,294.014,305.169
17,1.0,94.984,114.346,111.212,104.341,120.007
17,2.0,585.913,561.828,605.875,592.814,579.352
22,0.0,705.141,719.682,691.476,674.287,658.243
22,1.0,290.298,299.822,256.972,277.487,291.584
22,2.0,1753.701,1846.114,1891.155,1889.253,1831.661
27,0.0,615.28,661.6,601.952,666.844,639.338
27,1.0,375.269,360.79,402.401,355.557,368.571
27,2.0,2395.216,2502.682,2576.341,2666.708,2647.294
32,0.0,519.902,541.273,535.404,541.372,553.549
32,1.0,374.067,391.652,363.883,331.442,373.61
32,2.0,2641.427,2584.792,2703.24,2770.429,2809.418
37,0.0,456.827,454.702,434.613,523.136,506.165
37,1.0,289.032,298.723,321.572,337.036,333.468
37,2.0,2472.483,2586.149,2692.753,2703.137,2789.163
42,0.0,498.567,521.067,462.995,451.662,430.393
42,1.0,379.842,350.108,298.959,305.809,285.465
42,2.0,2761.872,2687.201,2668.099,2626.094,2658.397
47,0.0,504.819,521.327,500.004,525.624,477.693
47,1.0,376.077,380.158,395.442,341.049,369.932
47,2.0,3011.432,2909.984,2950.011,2959.518,2930.061
52,0.0,497.444,512.208,495.421,506.901,528.097
52,1.0,391.308,391.503,382.715,408.163,414.772
52,2.0,2700.56,2796.296,2911.804,2921.734,2894.829
57,0.0,407.382,421.737,393.202,437.385,443.412
57,1.0,330.848,325.438,336.916,336.595,345.305
57,2.0,2045.235,2130.561,2220.578,2317.166,2382.665
62,0.0,255.903,242.746,243.869,278.556,298.548
62,1.0,210.404,213.846,188.742,231.216,254.488
62,2.0,1177.004,1265.001,1365.24,1326.157,1421.402
67,0.0,125.007,120.517,118.414,110.96,109.985
67,1.0,81.964,98.365,92.726,94.597,86.575
67,2.0,517.576,533.616,562.489,531.216,513.64
72,0.0,34.193,37.894,52.135,50.257,55.919
72,1.0,38.841,41.665,46.16,40.076,48.379
72,2.0,188.117,195.761,214.214,229.515,271.517
77,0.0,18.043,16.424,17.322,17.783,12.562
77,1.0,23.678,18.722,15.511,21.146,20.164
77,2.0,61.369,72.387,69.107,61.504,90.887
