INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,34.017,37.202,32.423,39.947,38.72
1,1.0,89.231,86.607,75.883,74.64,75.651
1,2.0,72.756,79.816,82.602,87.735,77.683
2,0.0,51.242,56.98,61.485,55.168,63.242
2,1.0,60.283,54.245,57.332,63.469,64.062
2,2.0,81.551,83.303,90.569,93.754,92.724
3,0.0,44.313,46.817,48.534,43.936,49.256
3,1.0,39.288,40.673,35.269,28.571,34.82
3,2.0,76.161,84.845,78.264,86.362,83.701
4,0.0,39.357,42.972,41.92,67.234,62.911
4,1.0,28.878,22.448,22.081,36.257,37.733
4,2.0,84.809,72.099,64.275,109.925,106.608
5,0.0,45.079,54.649,56.396,31.067,49.954
5,1.0,20.855,24.791,24.999,11.977,19.979
5,2.0,80.345,101.386,99.817,56.099,91.32
6,0.0,49.755,44.003,51.326,47.309,40.487
6,1.0,19.002,18.807,20.857,22.115,18.953
6,2.0,91.568,100.637,86.895,101.892,111.92
7,0.0,48.115,36.476,39.162,68.072,37.91
7,1.0,11.889,12.565,15.002,23.121,13.919
7,2.0,101.261,85.322,92.545,167.546,110.402
8,0.0,34.707,42.575,47.899,26.993,35.939
8,1.0,12.293,11.825,14.417,8.052,10.25
8,2.0,127.583,128.769,137.28,85.735,107.824
9,0.0,34.102,36.994,36.722,38.573,44.33
9,1.0,7.246,7.407,8.185,8.072,7.106
9,2.0,114.894,121.073,119.067,129.396,127.867
10,0.0,36.276,35.111,37.246,32.001,34.888
10,1.0,7.073,4.825,5.334,5.255,4.47
10,2.0,176.767,155.987,172.55,170.141,183.403
99,0.0,126.334,119.332,132.74,134.217,111.334
99,1.0,64.694,64.304,62.734,53.646,56.886
99,2.0,344.344,341.97,329.314,319.554,327.351
