NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,3.040093,4.521214,3.500497,2.23891,0.993227
A,1.0,39.397102,36.914313,43.339966,45.355217,42.730063
A,2.0,57.562805,58.564473,53.159537,52.405873,56.27671
B,0.0,22.497036,17.251687,14.070908,12.374269,13.266461
B,1.0,3.901152,7.953351,1.690946,x,32.118996
B,2.0,73.601811,74.794963,84.238147,87.625731,54.614542
C,0.0,13.047937,13.840601,12.655072,12.121517,13.178743
C,1.0,9.678927,9.962002,10.387358,9.642637,10.249345
C,2.0,77.273136,76.197397,76.95757,78.235846,76.571912
D,0.0,33.818548,39.998996,34.264096,34.853458,31.828587
D,1.0,10.942876,13.202137,14.618079,9.323677,7.961506
D,2.0,55.238576,46.798866,51.117826,55.822865,60.209907
E,0.0,14.295894,14.854052,14.028834,16.207557,12.434028
E,1.0,13.279275,8.419482,8.99737,11.113084,8.350099
E,2.0,72.424832,76.726465,76.973795,72.679359,79.215873
F,0.0,9.177869,7.509675,6.854247,6.932986,6.078402
F,1.0,62.299881,62.752269,63.451348,65.453694,67.075053
F,2.0,28.52225,29.738056,29.694405,27.61332,26.846544
G,0.0,65.648133,64.421245,63.921636,66.507846,65.242466
G,1.0,6.288639,7.631663,7.632171,6.143431,6.396535
G,2.0,28.063228,27.947093,28.446192,27.348723,28.360999
H,0.0,17.349577,13.718474,14.129756,15.03149,16.079262
H,1.0,6.392035,7.086218,5.24596,5.872175,7.269476
H,2.0,76.258387,79.195308,80.624284,79.096335,76.651262
I,0.0,12.489748,12.50733,13.973479,14.002156,13.44774
I,1.0,1.613717,1.923304,2.026519,1.160305,1.232982
I,2.0,85.896535,85.569365,84.000002,84.837539,85.319278
J,0.0,19.532063,14.292748,15.96534,17.657891,16.198071
J,1.0,0.348015,0.771746,1.116638,0.279716,0.34559
J,2.0,80.119923,84.935506,82.918022,82.062393,83.456339
K,0.0,72.816624,75.086513,76.099423,74.794681,73.938918
K,1.0,0.218167,0.076137,0.167122,x,0.026153
K,2.0,26.965208,24.83735,23.733454,25.205319,26.034929
L,0.0,32.345003,31.126986,36.707391,38.779263,35.921987
L,1.0,1.240037,0.729751,2.474675,3.381636,1.401447
L,2.0,66.41496,68.143263,60.817933,57.839101,62.676566
M,0.0,26.855384,25.57623,26.679607,27.9772,27.772667
M,1.0,0.10701,0.40048,0.514111,0.270455,0.426674
M,2.0,73.037607,74.02329,72.806282,71.752344,71.800659
N,0.0,21.709893,21.251971,17.609476,17.540711,18.255237
N,1.0,38.45881,41.368745,40.975861,38.279511,33.954999
N,2.0,39.831297,37.379284,41.414663,44.179777,47.789763
O,0.0,35.679225,34.408915,34.799235,34.395747,33.779896
O,1.0,1.420199,1.641713,1.184752,1.249575,1.59691
O,2.0,62.900576,63.949371,64.016014,64.354678,64.623194
P,0.0,6.447026,6.52673,8.135243,7.911518,6.186804
P,1.0,9.201697,8.085532,8.228329,8.130102,8.250165
P,2.0,84.351277,85.387738,83.636428,83.95838,85.563031
Q,0.0,8.227979,8.12928,9.902072,10.282519,9.144419
Q,1.0,3.291817,4.357323,3.932426,4.092559,4.797622
Q,2.0,88.480204,87.513397,86.165502,85.624922,86.05796
R,0.0,19.026512,20.818096,21.292734,15.892301,16.100943
R,1.0,3.851891,3.1228,4.610256,4.141724,5.907494
R,2.0,77.121597,76.059103,74.097011,79.965974,77.991563
S,0.0,10.413342,7.725382,9.517986,9.969585,11.495644
S,1.0,13.522562,12.818762,13.250351,14.391295,15.71597
S,2.0,76.064096,79.455856,77.231664,75.63912,72.788386
T,0.0,0.163432,0.159431,0.933067,0.365651,x
T,1.0,61.597773,66.185051,62.558932,59.530202,58.701387
T,2.0,38.238795,33.655518,36.508002,40.104148,41.298613
U,0.0,29.681396,x,18.854936,57.754813,72.077982
U,2.0,70.318604,100.0,81.145064,42.245187,27.922018
