INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,33.155723,33.265657,36.874842,28.885946,21.617602
1.0,1.0,9.309643,12.59981,11.03054,14.777765,14.540566
1.0,2.0,57.534634,54.134533,52.094618,56.336289,63.841832
2.0,0.0,30.463823,25.656265,29.894758,30.909011,24.06527
2.0,1.0,10.293689,15.154119,6.951923,10.20145,7.060343
2.0,2.0,59.242489,59.189616,63.153319,58.88954,68.874387
3.0,0.0,25.244822,32.139066,14.952839,23.059759,22.047362
3.0,1.0,8.84788,10.904274,8.507389,10.341851,2.916648
3.0,2.0,65.907298,56.95666,76.539772,66.59839,75.03599
4.0,0.0,22.621892,29.47655,21.292329,23.012128,30.781042
4.0,1.0,9.292604,9.928997,5.667079,4.602566,13.846088
4.0,2.0,68.085504,60.594453,73.040591,72.385306,55.37287
5.0,0.0,20.540769,22.668945,21.786848,24.458414,22.242223
5.0,1.0,6.6614,11.593669,6.35239,7.994606,8.40514
5.0,2.0,72.797831,65.737386,71.860762,67.54698,69.352637
6.0,0.0,15.436672,19.00197,13.620326,15.370203,20.554035
6.0,1.0,10.871097,8.848132,9.246323,8.103239,8.58882
6.0,2.0,73.692232,72.149898,77.133351,76.526557,70.857144
7.0,0.0,8.048198,9.887675,8.793497,12.732374,12.711563
7.0,1.0,11.486391,12.638147,5.753412,12.907651,6.3918
7.0,2.0,80.465411,77.474178,85.453092,74.359975,80.896636
8.0,0.0,5.631238,6.229726,6.724286,6.070502,4.799883
8.0,1.0,6.785252,4.703288,9.968963,9.322168,3.66061
8.0,2.0,87.58351,89.066986,83.306751,84.607329,91.539507
9.0,0.0,6.706619,9.069476,4.65444,8.739905,4.906553
9.0,1.0,6.407646,7.06592,9.140899,12.391743,17.373451
9.0,2.0,86.885735,83.864604,86.204661,78.868353,77.719996
10.0,0.0,3.774884,10.776556,4.36291,7.118104,13.773348
10.0,1.0,7.198338,12.263778,9.231328,9.170204,8.278845
10.0,2.0,89.026778,76.959666,86.405762,83.711692,77.947807
99.0,0.0,9.986558,8.430742,7.051895,9.987994,6.283684
99.0,1.0,20.720034,20.234851,23.336298,22.338555,27.221827
99.0,2.0,69.293408,71.334408,69.611808,67.673452,66.494489
