AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,70.643,67.433,79.941,73.025,102.13
17,1.0,67.963,75.03,78.351,78.288,84.539
17,2.0,203.415,198.694,206.076,253.202,256.281
22,0.0,420.881,403.949,391.694,376.222,446.566
22,1.0,223.627,226.477,236.426,226.156,216.633
22,2.0,1054.263,1102.007,1070.921,1141.321,1178.356
27,0.0,557.513,538.829,515.784,529.789,482.966
27,1.0,310.404,345.524,303.421,325.612,280.044
27,2.0,1910.779,1914.945,1970.347,1964.676,2016.119
32,0.0,554.793,545.436,501.465,553.332,521.735
32,1.0,349.208,345.888,348.652,351.571,339.112
32,2.0,2244.064,2186.996,2241.136,2190.455,2180.759
37,0.0,561.574,481.135,535.11,544.895,545.788
37,1.0,363.436,335.376,367.991,390.796,412.193
37,2.0,2299.187,2359.288,2327.257,2405.636,2407.163
42,0.0,613.269,591.947,582.337,555.878,512.06
42,1.0,537.393,466.426,445.926,402.782,408.981
42,2.0,2558.127,2631.823,2591.18,2477.134,2471.55
47,0.0,580.929,595.935,533.132,591.458,543.06
47,1.0,570.864,525.895,531.566,515.176,510.696
47,2.0,2447.768,2483.92,2535.747,2594.496,2598.237
52,0.0,542.949,502.24,520.909,513.925,544.531
52,1.0,596.289,584.45,577.313,581.798,580.576
52,2.0,2376.45,2381.815,2429.555,2417.481,2388.015
57,0.0,444.243,431.099,429.592,461.434,456.107
57,1.0,456.142,487.723,493.509,512.696,511.394
57,2.0,1893.141,1915.675,2029.814,2091.261,2072.517
62,0.0,165.998,183.469,153.998,138.845,187.586
62,1.0,168.09,210.842,200.288,220.397,201.581
62,2.0,689.778,717.887,746.569,795.724,890.696
67,0.0,21.592,31.947,34.201,30.203,37.548
67,1.0,30.707,42.777,33.425,36.467,42.104
67,2.0,162.15,167.86,190.831,189.149,200.697
72,0.0,8.543,3.634,11.352,15.322,11.596
72,1.0,6.086,5.83,6.455,8.457,12.402
72,2.0,30.933,57.786,56.035,64.729,83.267
77,0.0,3.18,3.29,7.532,4.141,2.349
77,1.0,x,1.518,1.28,4.019,1.032
77,2.0,11.917,15.939,13.884,19.149,12.072
