AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,28.271,33.858,31.806,26.189,27.72
17,1.0,1.997,4.663,6.538,4.55,3.926
17,2.0,39.479,37.593,48.789,30.581,46.549
22,0.0,105.399,90.921,110.11,108.341,77.932
22,1.0,12.005,20.488,17.186,13.729,5.595
22,2.0,221.45,237.28,239.197,216.5,234.401
27,0.0,114.875,157.168,94.842,116.91,118.815
27,1.0,38.818,49.634,44.547,43.625,38.975
27,2.0,489.793,491.17,510.277,484.926,496.357
32,0.0,114.833,93.737,120.25,123.602,99.769
32,1.0,52.077,61.709,50.623,32.37,35.955
32,2.0,510.265,554.242,529.264,552.357,581.884
37,0.0,84.795,72.958,83.917,86.608,95.018
37,1.0,27.963,43.307,36.166,58.215,36.75
37,2.0,451.891,480.015,513.762,486.01,530.727
42,0.0,77.976,72.368,71.282,53.931,65.285
42,1.0,42.031,29.164,38.367,44.289,30.661
42,2.0,389.286,410.624,390.656,420.812,462.859
47,0.0,75.25,63.491,67.95,62.747,71.398
47,1.0,36.932,36.529,44.842,32.288,40.564
47,2.0,344.094,346.672,364.872,385.173,385.276
52,0.0,54.105,59.722,67.871,54.852,52.193
52,1.0,27.912,43.225,28.333,36.341,32.822
52,2.0,308.312,313.891,340.04,345.67,366.893
57,0.0,39.183,43.904,36.54,43.378,35.106
57,1.0,29.411,19.593,26.884,25.009,21.023
57,2.0,224.219,242.149,250.175,263.877,275.866
62,0.0,23.211,16.401,23.1,22.311,30.042
62,1.0,11.616,12.004,13.977,15.319,20.021
62,2.0,128.256,143.466,159.078,154.117,169.081
67,0.0,9.804,12.862,8.313,17.761,10.39
67,1.0,5.168,2.564,6.694,7.445,3.574
67,2.0,68.76,51.934,74.145,73.941,70.089
72,0.0,2.51,4.83,4.007,0.847,6.036
72,1.0,0.946,2.758,1.291,x,3.619
72,2.0,25.078,20.889,23.41,28.245,34.394
77,0.0,2.054,2.239,1.75,3.249,1.086
77,1.0,1.361,0.539,x,x,x
77,2.0,6.811,12.756,4.351,9.766,11.209
