AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,28.027746,39.279465,33.922703,23.799838,29.278635
17,1.0,9.727389,13.273993,6.819992,15.273147,8.991072
17,2.0,62.244865,47.446543,59.257305,60.927016,61.730293
22,0.0,29.840886,28.060871,32.562119,24.424566,23.619664
22,1.0,7.938383,7.427592,5.938073,6.305673,6.36937
22,2.0,62.220731,64.511537,61.499808,69.269761,70.010966
27,0.0,22.543634,20.951055,19.3762,20.006011,18.057073
27,1.0,5.35426,4.522186,5.878599,7.392013,4.95463
27,2.0,72.102105,74.526758,74.745201,72.601976,76.988297
32,0.0,18.204625,18.651868,16.187883,18.468414,18.908216
32,1.0,7.235226,8.236388,6.783352,6.444925,4.27244
32,2.0,74.560149,73.111744,77.028766,75.086661,76.819344
37,0.0,18.963504,15.019351,17.370878,18.820782,16.46763
37,1.0,10.324769,7.037765,8.726861,6.878617,7.589923
37,2.0,70.711727,77.942884,73.902262,74.300602,75.942446
42,0.0,19.008796,15.539433,14.817759,18.230183,16.281659
42,1.0,9.606423,7.611609,9.778576,9.361168,11.970462
42,2.0,71.384781,76.848958,75.403666,72.408649,71.747879
47,0.0,17.656976,17.039263,13.613685,16.606166,16.725689
47,1.0,12.945227,9.850462,11.360418,11.124863,8.254826
47,2.0,69.397797,73.110275,75.025897,72.268971,75.019485
52,0.0,15.368766,15.636532,14.543698,13.771624,14.604066
52,1.0,10.274714,10.565356,11.367442,12.62594,12.96159
52,2.0,74.35652,73.798112,74.08886,73.602436,72.434344
57,0.0,16.52756,15.283205,13.859069,15.274125,15.735832
57,1.0,9.926492,10.85384,9.915724,10.741389,9.379614
57,2.0,73.545948,73.862956,76.225207,73.984486,74.884554
62,0.0,15.260476,16.963793,15.725832,9.511159,13.818601
62,1.0,10.103391,11.406262,9.274601,17.24825,11.228541
62,2.0,74.636133,71.629945,74.999567,73.240592,74.952858
67,0.0,15.470019,16.68155,6.888742,10.492323,7.791419
67,1.0,7.492035,5.434487,7.608464,9.552362,10.033531
67,2.0,77.037946,77.883963,85.502794,79.955315,82.17505
72,0.0,24.353653,x,12.641468,9.284981,5.775391
72,1.0,7.266767,x,x,7.108248,6.99731
72,2.0,68.379581,100.0,87.358532,83.606771,87.227299
77,0.0,75.753914,26.537762,x,15.186618,x
77,1.0,x,x,x,8.959925,29.636934
77,2.0,24.246086,73.462238,100.0,75.853457,70.363066
