INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,17.355223,18.269694,16.983539,19.744262,20.160955
1,1.0,45.525221,42.532711,39.748498,36.891803,39.390571
1,2.0,37.119556,39.197596,43.267963,43.363935,40.448475
2,0.0,26.54003,29.291324,29.364396,25.974675,28.742689
2,1.0,31.222457,27.885628,27.380843,29.883134,29.115481
2,2.0,42.237513,42.823048,43.25476,44.142191,42.141831
3,0.0,27.736943,27.166156,29.947147,27.655339,29.357823
3,1.0,24.591473,23.601136,21.761758,17.984186,20.753776
3,2.0,47.671584,49.232708,48.291095,54.360475,49.888401
4,0.0,25.716249,31.248151,32.679538,31.503876,30.354647
4,1.0,18.869145,16.323578,17.213466,16.988737,18.206351
4,2.0,55.414607,52.42827,50.106996,51.507386,51.439002
5,0.0,30.817312,30.221718,31.121748,31.335671,30.978402
5,1.0,14.257014,13.710076,13.79526,12.080735,12.389997
5,2.0,54.925674,56.068206,55.082992,56.583594,56.631601
6,0.0,31.033831,26.921713,32.264551,27.615124,23.626841
6,1.0,11.851997,11.506668,13.111295,12.908864,11.060133
6,2.0,57.114172,61.57162,54.624154,59.476012,65.313026
7,0.0,29.836193,27.147469,26.693935,26.309077,23.367665
7,1.0,7.372607,9.351269,10.225484,8.935922,8.57969
7,2.0,62.791201,63.501262,63.080581,64.755001,68.052645
8,0.0,19.8802,23.24344,23.997807,22.348922,23.334962
8,1.0,7.041298,6.455685,7.223076,6.666827,6.655023
8,2.0,73.078502,70.300875,68.779117,70.984252,70.010015
9,0.0,21.826461,22.356312,22.394993,21.911251,24.723691
9,1.0,4.637525,4.476405,4.991473,4.585467,3.963196
9,2.0,73.536014,73.167283,72.613534,73.503281,71.313113
10,0.0,16.480318,17.92077,17.313105,15.429994,15.661428
10,1.0,3.213448,2.462674,2.479473,2.533781,2.006601
10,2.0,80.306233,79.616556,80.207422,82.036225,82.33197
99,0.0,23.597476,22.703767,25.293934,26.451001,22.465716
99,1.0,12.083921,12.234187,11.954224,10.572347,11.478915
99,2.0,64.318604,65.062046,62.751842,62.976652,66.055368
