NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,1.04066,x,1.461949,1.633912,1.550877
A,1.0,54.697465,53.624098,58.214949,48.761809,52.001764
A,2.0,44.261875,46.375902,40.323102,49.604279,46.447359
B,0.0,19.387611,x,x,11.293351,33.638103
B,1.0,14.381248,29.090973,25.757168,27.237012,14.45877
B,2.0,66.231141,70.909027,74.242832,61.469637,51.903127
C,0.0,14.32934,13.473751,13.793374,10.131917,12.094252
C,1.0,15.211673,15.376029,17.378719,15.757214,12.947011
C,2.0,70.458986,71.15022,68.827907,74.110869,74.958736
D,0.0,26.956148,27.698304,28.967416,26.375293,26.643802
D,1.0,17.633524,7.729633,8.154265,13.91603,10.164173
D,2.0,55.410328,64.572064,62.87832,59.708678,63.192025
E,0.0,13.539859,16.850774,13.089621,12.140156,5.509829
E,1.0,12.442051,3.634922,1.026426,2.682472,8.887042
E,2.0,74.01809,79.514304,85.883953,85.177372,85.603129
F,0.0,7.304078,4.813516,4.380558,5.75246,7.237203
F,1.0,60.982233,61.934404,63.37024,63.433888,62.712554
F,2.0,31.713689,33.25208,32.249202,30.813652,30.050243
G,0.0,67.345569,68.680234,69.047189,71.775697,70.28139
G,1.0,7.094815,7.083721,6.550247,6.183797,6.308246
G,2.0,25.559617,24.236045,24.402564,22.040506,23.410364
H,0.0,15.405553,13.508932,15.031973,17.519342,17.899764
H,1.0,9.19159,7.465896,6.459145,8.06256,7.750504
H,2.0,75.402858,79.025172,78.508882,74.418098,74.349732
I,0.0,15.781865,15.112364,17.406857,14.59554,14.226552
I,1.0,2.813706,3.345881,3.284111,3.134891,2.950559
I,2.0,81.404429,81.541754,79.309032,82.269569,82.822889
J,0.0,13.33372,20.003193,19.256494,18.32479,17.261714
J,1.0,0.30725,0.444658,0.192213,0.283094,0.213965
J,2.0,86.35903,79.55215,80.551292,81.392116,82.524321
K,0.0,76.998959,75.826513,74.632736,68.626965,67.105843
K,1.0,x,0.068837,0.179508,0.12016,x
K,2.0,23.001041,24.10465,25.187755,31.252874,32.894157
L,0.0,30.710763,33.79841,35.202318,30.806138,23.071361
L,1.0,3.058595,3.30107,2.883424,1.72951,5.1606
L,2.0,66.230642,62.90052,61.914258,67.464352,71.768039
M,0.0,21.329671,24.173316,26.21309,25.744824,26.041936
M,1.0,1.5941,0.672045,0.983786,0.648541,0.623808
M,2.0,77.076229,75.154639,72.803124,73.606635,73.334256
N,0.0,26.091939,26.537301,27.635088,23.956903,24.650032
N,1.0,38.606012,37.445008,35.693654,35.505624,35.612675
N,2.0,35.302049,36.017691,36.671258,40.537473,39.737294
O,0.0,33.781341,33.633004,32.568008,31.690913,31.259277
O,1.0,1.170344,1.473206,1.936221,1.817948,1.238293
O,2.0,65.048315,64.89379,65.495771,66.49114,67.50243
P,0.0,7.725893,8.641978,9.909116,7.158944,5.901713
P,1.0,9.265791,9.985626,8.085872,7.316532,7.362632
P,2.0,83.008316,81.372396,82.005013,85.524524,86.735656
Q,0.0,8.785221,10.163523,11.391688,12.082287,12.464764
Q,1.0,4.200218,2.998469,3.36757,4.004838,4.262672
Q,2.0,87.014561,86.838008,85.240742,83.912876,83.272564
R,0.0,15.197578,18.943938,16.568089,22.705482,26.018516
R,1.0,6.361564,5.115416,4.631289,6.12869,4.596724
R,2.0,78.440857,75.940646,78.800622,71.165828,69.38476
S,0.0,17.016985,14.81663,17.9384,15.660885,10.457959
S,1.0,6.356487,5.316399,6.420862,4.983476,6.919484
S,2.0,76.626528,79.86697,75.640738,79.355639,82.622557
T,0.0,0.100169,x,x,x,0.059812
T,1.0,68.460016,68.303603,67.089913,64.604322,69.796182
T,2.0,31.439815,31.696397,32.910087,35.395678,30.144006
U,0.0,34.079934,26.577918,31.839006,49.045077,31.991108
U,1.0,14.066253,x,1.786854,4.791585,7.268256
U,2.0,51.853813,73.422082,66.37414,46.163338,60.740637
