id,occupation,isco_code,skills_based_sector_code,skills_based_sector,sub_sector_code,sub_sector,risk_category,job_zone,education_level,related_work_experience,on_the_job_training,annual_earnings,remote_labor_index,physical_proximity,exposure_score,n_desirable,n_desirable_and_highly_viable,n_safe_desirable,n_safe_desirable_and_highly_viable,n_safe_desirable_strict,n_safe_desirable_strict_and_highly_viable,concept_uri
1,metal drawing machine operator,8121,4,manufacturing workers,4.1,metal workers & machine operators,Lower risk,2.0,2.1163,2.4383,3.6486,22031.963636,0.125,0.5125,0.669655,142,103,142,103,2,0,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84
3,air traffic safety technician,3155,1,"technicians, construction, transport & security workers",1.4,transport & security workers,Lower risk,3.0,4.3848,5.4808,4.0782,32754.0,,0.5375,,27,1,27,1,10,0,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97
4,hospitality revenue manager,2431,2,business & administration workers,2.4,business managers,Lower risk,4.0,6.8261,6.3481,3.8265,38839.816377,0.9,0.3575,0.189077,85,9,67,8,3,0,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f
5,medical laboratory assistant,3212,5,engineers & researchers,5.1,researchers & science technicians,Lower risk,3.0,5.7431,4.5363,3.9548,21517.582278,,0.6475,,22,5,21,5,2,0,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c
7,primary school teaching assistant,5312,7,education workers,7.2,teachers & childcare workers,Lower risk,3.0,3.6277,3.9765,2.7602,15945.319226,0.444444,0.88,0.699206,27,23,25,21,0,0,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e
8,physiotherapist,2264,11,healthcare workers,11.1,doctors & specialist therapists,Lower risk,5.0,9.0778,4.1917,2.3448,28764.0,0.409091,0.9975,0.767745,42,25,32,22,4,3,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533
10,hydrogenation machine operator,8160,9,food & tobacco production workers,9.2,food & tobacco production operators,Lower risk,2.0,2.0478,3.9646,3.1842,20363.62,0.052632,0.4775,0.672583,124,60,123,60,11,4,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883
11,pasta operator,8160,9,food & tobacco production workers,9.2,food & tobacco production operators,Lower risk,2.0,1.9243,2.6844,3.1467,20363.62,0.166667,0.5575,0.681604,150,74,149,74,91,49,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8
15,food safety specialist,2263,9,food & tobacco production workers,9.3,food & tobacco production specialists,Lower risk,4.0,6.2732,5.8094,4.5235,30076.974453,0.5,0.6475,0.56899,14,0,13,0,0,0,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd
16,land-based machinery technician,7233,1,"technicians, construction, transport & security workers",1.3,"industrial technicians, mechanics & repairers",Lower risk,3.0,2.9235,5.3724,4.8153,30467.26087,0.117647,0.525,0.680614,25,2,25,2,7,1,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811
17,bus driver,8331,1,"technicians, construction, transport & security workers",1.4,transport & security workers,Lower risk,2.0,1.9161,3.7559,2.7974,30433.927673,0.076923,0.7775,0.847167,11,4,11,4,3,0,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58
21,nonwoven filament machine operator,8131,8,"textile, clothing, leather & footwear manufacturing workers",8.2,textile workers,Lower risk,2.0,2.1163,2.4383,3.6486,22211.820144,0.125,0.5125,0.669655,21,9,21,9,0,0,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc
24,dismantling engineer,2149,5,engineers & researchers,5.3,"mechanical engineers, designers & drafters",Lower risk,3.0,4.0063,6.8402,4.7342,35911.871608,0.5625,0.515,0.474671,4,0,4,0,1,0,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4
25,insurance claims handler,3315,2,business & administration workers,2.2,accounting & financial services workers,Lower risk,4.0,5.1506,7.2969,4.6266,30599.993865,0.681818,0.555,0.420227,39,8,18,3,0,0,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5
