id,concept_type,concept_uri,preferred_label,alt_labels,description,isco_group,isco_level_1,isco_level_2,isco_level_3,isco_level_4
1,Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,metal drawing machine operator,"metal drawing machine technician
metal drawing machine operative
wire drawer
draw machine operative
forming machine technician
draw machine operator
wiredrawing setter
wirer drawer machine operator
forming machine operative
draw machine technician
wiredrawing  machine tender","Metal drawing machine operators set up and operate drawing machines for ferrous and non-ferrous metal products, designed to provide wires, bars, pipes, hollow profiles and tubes with their specific form by reducing its cross-section and by pulling the working materials through a series of drawing dies.",8121,8,81,812,8121
3,Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,air traffic safety technician,"air traffic safety electronics hardware specialist
air traffic safety software specialist
air traffic safety engineer
air traffic safety hardware specialist
air traffic safety electronics software specialist
air traffic safety electronics engineer
air traffic safety electronics technician","Air traffic safety technicians provide technical support regarding the safety of air traffic control and navigation systems. They design, maintain, install and operate these systems both in the airport and on board the aeroplane according to regulations.",3155,3,31,315,3155
4,Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,hospitality revenue manager,"hospitality revenues manager
yield manager
hospitality yields manager
revenue manager","Hospitality revenue managers maximise revenue generated from facilities such as hotels,  holiday resorts and camping grounds by analysing trends and competition. They assist establishment managers in strategic decisions. Hospitality revenue managers analyse and optimise the financial potential of facilities and manage the corresponding staff.",2431,2,24,243,2431
5,Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,medical laboratory assistant,"medical laboratory research assistant
biomedical laboratory assistant
clinical research assistant
assistant in medical laboratory
biomedical laboratory research assistant
assistant clinical researcher
medical lab assistant
assistant in biomedical laboratory","Medical laboratory assistants work under supervision of the biomedical scientist and carry out basic laboratory procedures. They work in the pre-analytical handling of samples such as checking the details of specimens received for analysis, maintaining analysers, loading reagents, and packaging specimens. They also perform clerical tasks such as monitoring the stock levels of reagents used in analysis.",3212,3,32,321,3212
7,Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,primary school teaching assistant,"primary school teaching aide
teaching assistant in primary schools
primary education teaching assistant
primary school assistant
primary school paraprofessional
primary school instructional assistant
primary school TA","Primary school teaching assistants provide instructional and practical support to primary school teachers. They reinforce instruction with students in need of extra attention and prepare the materials the teacher needs in class. They also perform clerical work, monitor the students' learning progress and behaviour and supervise the students with and without the head teacher present.",5312,5,53,531,5312
8,Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,physiotherapist,"business physiotherapist
hydrotherapist
occupational physiotherapist
osteopath
occupational therapist
bobath physiotherapist
health and well-being therapist
chiropractic therapist
sports physiotherapist
respiratory therapist
eurythmy therapist
health promotion worker
remedial physiotherapist
physiotherapist manager
manipulative physiotherapist
neuromuscular physiotherapist
respiratory physiotherapist
neurological physiotherapist
physical therapist
rehabilitation therapist
masseuse
chiropractor
neuromusculoskeletal physiotherapist
cardiovascular physiotherapist
neurodevelopmental physiotherapist","Physiotherapists are autonomous health professionals who are responsible for developing, maintaining or restoring motor function and movement throughout the lifespan using evidence-based practice. They relieve pain and treat or prevent physical conditions associated with injury, disease or other impairments. Physiotherapists empower patients and their carers to manage the condition outside clinical settings. They work within their scope of practice and their professional Code of Conduct. ",2264,2,22,226,2264
10,Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,hydrogenation machine operator,"hydrogenation machine operative
hydrogenator
hydrogenation operator
hydrogenation process operator"," Hydrogenation machine operators control equipment to process base oils for manufacture of margarine and shortening products. 
",8160,8,81,816,8160
11,Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,pasta operator,"pasta manufacturer
pasta production operator","Pasta operators manufacture dry pasta products. They unload raw ingredients from storage silos and ingredient delivery systems. These operators mix, press, extrude as to reach desired drying levels of pasta.",8160,8,81,816,8160
15,Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,food safety specialist,"food production quality controller
trainee food safety specialist
food safety controller
senior food safety specialist
food scientist
food safety monitor
food safety advisor
food safety technician
food compliance manager (food safety)
assistant food safety specialist
HACCP compliance manager
food safety consultant
technical manager for food safety
food hygiene specialist
food quality controller","Food safety specialists organise processes and implement procedures to avoid problems with food safety. They comply with regulations.
",2263,2,22,226,2263
16,Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,land-based machinery technician,"land-based machinery mechanic
land-based machinery technicians
landbased machinery technician","Land-based machinery technicians maintain, overhaul and repair agricultural equipment and machinery.",7233,7,72,723,7233
17,Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,bus driver,"intercity bus driver
private bus operator
transit bus driver
public service vehicle operator
passenger driver
international bus driver
public bus operator
touristic bus driver
coach driver
private coach driver
public bus driver
bus operator
driver of bus
bus driving operator
schoolbus driver","Bus drivers operate buses or coaches, take fares, and look after passengers.",8331,8,83,833,8331
21,Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,nonwoven filament machine operator,"non-woven filament machine operator
non-woven yarn worker
non woven yarn worker
nonwoven filament machinist
nonwoven yarn worker
non woven filament machine operator",Nonwoven filament machine operators perform chemical nonwoven processing operations.,8131,8,81,813,8131
24,Occupation,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,dismantling engineer,"disassembly planner
dismantling manager
dismantling planner","Dismantling engineers research and plan the optimal way to dismantle industrial equipment, machinery and buildings that reached the end-of-life phase. They analyse the required work and schedule the various operations. They give team leaders instructions and supervise their work. 
",2149,2,21,214,2149
25,Occupation,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,insurance claims handler,"claims handler
contract claims examiner
claims consultant
claims representative
property and casualty insurance claims examiner
claims inspector
claims service supervisor
insurance claims consultant
claims examiner
claims processor
insurance claims officer
casualty insurance adjuster
claims adjuster
insurance claims analyst
travelling insurance assessor
insurance claims processor
claims analyst
insurance claims assessor
insurance claims examiner
civil damages inspector
insurance claims inspector","Insurance claims handlers ensure that all insurance claims are handled accurately and that payment for valid claims is made to the policyholders. They use statistical data and reporting to calculate and adjust claims as needed, communicate with and guide policyholders and monitor the progress of a claim.",3315,3,33,331,3315
27,Occupation,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,nitroglycerin separator operator,"nitro-separator operator
nitroglycerin separator tender
nitroglycerin separator operative
gravity separator operator
nitroglycerin-separator tender
chemical equipment operative
nitroglycerin- separator operative
nitroglycerin-separator worker
nitro-separator operative
nitroglycerin gravity separator
chemical equipment worker
nitroglycerin-separator operator
nitroglycerin separator worker
chemical equipment operator","Nitroglycerin separator operators maintain the gravity separator, used in explosives processing, controlling the temperature and liquid flow, in order to separate nitroglycerin from spent acids.",8131,8,81,813,8131
29,Occupation,http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,legal guardian,"conservator
court-appointed guardian
foster parent
youth legal guardian
department of work and pensions appointee
legal parent
welfare guardian
financial guardian
intervenor","Legal guardians legally assist and support minor children, mentally disabled persons or incapacitated older adults in their personal life. They can manage their property, help with daily financial administration and assist with the ward's medical or social needs.",3412,3,34,341,3412
