NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,18.579,17.453,13.187,17.922,10.923
A,1.0,263.395,211.944,232.658,214.953,192.817
A,2.0,124.88,111.298,149.866,122.113,128.525
B,0.0,10.22,11.489,7.121,11.677,6.612
B,1.0,18.692,19.237,14.396,22.779,18.917
B,2.0,126.028,109.23,90.633,97.502,98.227
C,0.0,279.18,294.01,279.85,304.639,300.486
C,1.0,525.331,550.668,531.732,487.371,513.356
C,2.0,2174.122,2105.475,2119.421,2177.707,2103.893
D,0.0,31.683,38.047,36.128,32.962,31.737
D,1.0,30.794,32.051,31.138,30.282,33.782
D,2.0,114.552,113.095,112.628,140.614,132.278
E,0.0,27.787,23.091,19.688,18.015,21.668
E,1.0,23.526,21.22,16.476,32.206,18.477
E,2.0,155.311,167.438,187.488,193.149,185.857
F,0.0,127.719,127.66,105.161,122.184,118.612
F,1.0,1011.721,1040.847,1021.081,1060.08,1071.256
F,2.0,1101.458,1118.89,1170.627,1223.951,1220.014
G,0.0,2050.155,2031.646,2015.31,2027.337,1923.595
G,1.0,338.759,333.178,331.713,326.808,372.441
G,2.0,1733.146,1705.663,1861.807,1978.413,1956.45
H,0.0,126.96,143.774,119.476,129.404,111.34
H,1.0,153.59,181.081,145.727,136.987,173.733
H,2.0,1206.585,1324.363,1366.43,1292.637,1343.279
I,0.0,140.161,157.844,163.536,149.85,151.574
I,1.0,81.783,77.855,71.854,79.271,70.182
I,2.0,1397.529,1408.261,1520.379,1500.326,1423.637
J,0.0,152.427,149.451,133.657,168.49,154.609
J,1.0,11.837,10.961,10.587,6.369,6.953
J,2.0,1043.573,1085.983,1105.571,1080.228,1072.931
K,0.0,509.833,542.243,462.319,500.981,510.54
K,1.0,6.341,5.867,7.956,8.881,2.113
K,2.0,667.638,731.246,724.301,726.847,792.988
L,0.0,50.829,52.949,55.913,46.266,71.413
L,1.0,23.746,17.568,23.464,17.18,15.244
L,2.0,279.923,302.538,275.837,269.591,295.45
M,0.0,372.879,387.99,388.812,411.667,435.736
M,1.0,42.0,37.276,52.909,41.156,56.617
M,2.0,1720.763,1684.071,1849.542,1833.657,1842.898
N,0.0,179.589,261.319,227.744,228.344,237.461
N,1.0,392.734,404.754,394.948,388.238,404.491
N,2.0,808.924,888.63,919.27,976.901,912.294
O,0.0,279.497,260.288,279.809,310.274,321.756
O,1.0,38.612,41.628,42.961,44.998,48.057
O,2.0,1430.718,1444.309,1487.0,1547.752,1632.67
P,0.0,110.409,93.608,107.292,101.916,108.351
P,1.0,73.354,71.413,53.06,62.147,67.898
P,2.0,3009.777,3105.261,3108.07,2981.542,3190.152
Q,0.0,303.995,280.094,250.934,266.39,294.521
Q,1.0,106.896,119.16,105.553,112.313,121.362
Q,2.0,3679.529,3737.24,3815.9,3802.93,3850.929
R,0.0,104.566,139.342,107.896,117.934,107.263
R,1.0,28.16,18.006,22.251,23.88,27.978
R,2.0,674.445,696.454,683.19,701.422,716.84
S,0.0,65.985,78.187,70.62,86.908,66.731
S,1.0,57.3,68.659,56.186,60.016,73.254
S,2.0,743.228,722.004,724.736,778.87,781.331
T,0.0,1.452,x,x,x,x
T,1.0,22.806,9.879,19.762,5.32,8.253
T,2.0,60.012,47.137,57.623,52.26,36.253
U,0.0,5.159,6.129,7.815,5.642,5.521
U,1.0,x,x,1.864,2.744,1.703
U,2.0,22.974,27.454,23.585,39.231,31.955
