INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1.0,0.0,29.99191,29.010447,28.500589,28.325047,27.511347
1.0,1.0,11.818693,12.002554,10.787161,12.220135,8.725725
1.0,2.0,58.189397,58.986999,60.712251,59.454818,63.762928
2.0,0.0,28.447406,25.749203,28.515979,26.387876,27.258663
2.0,1.0,10.152849,9.894656,8.914348,9.401472,10.410308
2.0,2.0,61.399744,64.356141,62.569673,64.210652,62.331029
3.0,0.0,23.750232,23.419581,21.190709,24.828884,25.061463
3.0,1.0,9.186396,8.758037,7.600449,7.310755,8.663557
3.0,2.0,67.063372,67.822381,71.208842,67.860361,66.27498
4.0,0.0,19.941257,21.703781,19.71985,21.135877,20.495342
4.0,1.0,8.179304,8.72683,8.584811,6.952806,8.697327
4.0,2.0,71.879439,69.569389,71.69534,71.911317,70.807332
5.0,0.0,18.250748,19.207597,18.511987,18.936688,20.870393
5.0,1.0,8.027349,9.097351,7.357256,6.980708,7.855615
5.0,2.0,73.721903,71.695052,74.130758,74.082604,71.273993
6.0,0.0,16.559726,17.112108,14.035538,16.175722,15.333301
6.0,1.0,8.892483,8.392804,7.664423,6.211874,8.457166
6.0,2.0,74.547791,74.495088,78.300039,77.612404,76.209533
7.0,0.0,10.987534,11.395308,12.410908,11.967782,10.221056
7.0,1.0,8.204632,8.636971,7.108692,7.795331,5.947119
7.0,2.0,80.807834,79.967722,80.480401,80.236887,83.831825
8.0,0.0,8.641851,9.856998,7.892364,10.448824,8.401468
8.0,1.0,6.979054,6.840389,8.062428,7.727611,8.170783
8.0,2.0,84.379095,83.302613,84.045208,81.823565,83.427749
9.0,0.0,7.439333,7.800864,7.445047,9.019365,8.089911
9.0,1.0,5.757476,7.084719,6.373441,7.161745,7.374749
9.0,2.0,86.803191,85.114417,86.181512,83.81889,84.53534
10.0,0.0,10.298378,11.408073,10.042519,12.151756,11.465532
10.0,1.0,4.983112,4.708439,4.719715,4.467945,5.027667
10.0,2.0,84.71851,83.883488,85.237766,83.380299,83.506801
99.0,0.0,8.438641,9.343707,8.477196,8.64719,7.709534
99.0,1.0,22.621769,22.071467,22.005254,21.907081,22.853937
99.0,2.0,68.93959,68.584827,69.51755,69.445729,69.436529
