region,NUTS,region_name,risk_category,2014,2015,2016,2017,2018,average,percentage,LQ
C1,ITC1,Piemonte,High risk,387.838,404.034,407.208,389.417,398.547,397.409,0.222,0.956
C1,ITC1,Piemonte,Low risk,257.218,254.274,255.349,267.127,244.595,255.713,0.143,0.933
C1,ITC1,Piemonte,Other,1116.126,1126.852,1134.476,1150.139,1177.118,1140.942,0.636,1.033
C2,ITC2,Valle d'Aosta,High risk,12.077,12.371,12.543,12.585,12.43,12.401,0.228,0.984
C2,ITC2,Valle d'Aosta,Low risk,9.634,9.505,8.837,8.728,8.801,9.101,0.167,1.096
C2,ITC2,Valle d'Aosta,Other,33.094,32.53,32.544,32.895,33.392,32.891,0.605,0.982
C3,ITC3,Liguria,High risk,143.96,151.774,151.56,150.956,153.642,150.378,0.251,1.084
C3,ITC3,Liguria,Low risk,85.655,90.902,95.569,89.425,84.502,89.211,0.149,0.976
C3,ITC3,Liguria,Other,361.015,359.096,355.419,355.49,363.649,358.934,0.6,0.974
C4,ITC4,Lombardia,High risk,987.73,973.562,993.359,1017.075,1017.477,997.841,0.231,0.999
C4,ITC4,Lombardia,Low risk,570.978,597.759,588.365,568.48,577.338,580.584,0.135,0.882
C4,ITC4,Lombardia,Other,2658.772,2666.9,2730.373,2797.808,2811.968,2733.164,0.634,1.03
F1,ITF1,Abruzzo,High risk,116.64,107.171,100.754,98.244,96.93,103.948,0.216,0.933
F1,ITF1,Abruzzo,Low risk,70.7,71.71,71.604,67.407,75.343,71.353,0.148,0.971
F1,ITF1,Abruzzo,Other,282.987,292.863,309.273,321.328,322.228,305.736,0.636,1.032
F2,ITF2,Molise,High risk,23.036,22.364,22.909,23.81,23.156,23.055,0.224,0.966
F2,ITF2,Molise,Low risk,14.587,14.647,15.527,14.417,15.288,14.893,0.145,0.947
F2,ITF2,Molise,Other,61.889,63.42,66.155,65.711,67.915,65.018,0.631,1.026
F3,ITF3,Campania,High risk,356.793,355.0,385.913,390.361,372.41,372.095,0.233,1.004
F3,ITF3,Campania,Low risk,250.549,255.361,246.506,262.748,265.649,256.163,0.16,1.049
F3,ITF3,Campania,Other,934.653,945.248,979.181,993.631,1000.443,970.631,0.607,0.986
F4,ITF4,Puglia,High risk,251.007,266.863,263.162,272.421,280.203,266.731,0.232,1.0
F4,ITF4,Puglia,Low risk,214.666,224.075,238.788,234.583,231.451,228.713,0.199,1.301
F4,ITF4,Puglia,Other,642.849,645.983,659.45,658.108,673.402,655.958,0.57,0.925
F5,ITF5,Basilicata,High risk,42.034,41.048,43.143,44.951,41.668,42.569,0.229,0.986
F5,ITF5,Basilicata,Low risk,32.455,33.714,35.551,30.648,35.241,33.522,0.18,1.179
F5,ITF5,Basilicata,Other,106.521,112.335,112.247,111.362,108.417,110.176,0.591,0.961
F6,ITF6,Calabria,High risk,125.412,128.578,121.22,125.572,134.824,127.121,0.243,1.047
F6,ITF6,Calabria,Low risk,108.845,108.605,118.371,116.666,124.722,115.442,0.22,1.444
F6,ITF6,Calabria,Other,281.234,271.98,277.882,288.428,286.339,281.173,0.537,0.872
G1,ITG1,Sicilia,High risk,331.799,336.522,337.552,344.59,328.717,335.836,0.252,1.09
G1,ITG1,Sicilia,Low risk,249.468,264.51,260.413,265.393,264.3,260.817,0.196,1.284
G1,ITG1,Sicilia,Other,718.839,729.906,734.128,737.374,747.548,733.559,0.551,0.896
G2,ITG2,Sardegna,High risk,113.488,118.523,119.657,121.255,130.915,120.768,0.22,0.948
G2,ITG2,Sardegna,Low risk,110.374,110.003,112.457,103.876,101.981,107.738,0.196,1.284
G2,ITG2,Sardegna,Other,313.538,324.107,314.778,318.627,333.785,320.967,0.584,0.949
H1,ITH1,South Tyrol,High risk,51.756,53.215,55.931,54.332,53.467,53.74,0.218,0.941
H1,ITH1,South Tyrol,Low risk,40.839,40.948,42.487,42.132,40.517,41.385,0.168,1.1
H1,ITH1,South Tyrol,Other,147.728,147.019,148.86,153.496,159.204,151.261,0.614,0.997
