NACE1D,RISK_CAT,2014,2015,2016,2017,2018
A,0.0,1.495,x,x,x,1.211
A,1.0,x,1.368,2.129,1.072,0.91
A,2.0,4.777,0.857,x,3.521,6.799
B,0.0,1.079,0.677,x,1.817,1.095
B,1.0,x,x,x,x,1.129
B,2.0,16.3,15.543,6.247,5.365,8.922
C,0.0,30.173,21.109,19.983,8.688,15.28
C,1.0,19.61,17.671,25.542,19.007,13.018
C,2.0,121.347,127.008,110.426,128.271,120.507
D,0.0,2.24,0.962,2.384,x,x
D,1.0,2.746,2.884,2.341,3.101,4.114
D,2.0,6.737,5.594,8.021,8.245,4.728
E,0.0,x,1.096,2.042,3.061,x
E,1.0,1.388,x,x,6.038,1.223
E,2.0,9.313,5.28,13.328,15.106,17.073
F,0.0,7.754,16.522,11.817,20.614,14.943
F,1.0,129.189,143.131,128.039,136.524,115.461
F,2.0,135.438,155.885,165.492,175.754,187.089
G,0.0,241.855,252.819,272.629,268.407,210.014
G,1.0,21.523,19.745,20.975,23.538,16.9
G,2.0,205.088,183.14,214.998,233.704,266.128
H,0.0,20.337,28.085,23.013,22.317,17.557
H,1.0,14.303,20.982,16.899,8.964,21.295
H,2.0,157.759,186.148,212.621,164.821,185.521
I,0.0,31.638,17.359,22.918,20.082,22.705
I,1.0,5.7,13.967,14.613,8.542,8.651
I,2.0,200.006,197.574,217.556,195.998,193.316
J,0.0,42.792,39.29,29.812,42.855,34.264
J,1.0,1.725,1.76,2.057,x,1.615
J,2.0,237.9,304.431,272.374,280.223,290.538
K,0.0,114.344,92.915,91.515,86.063,105.156
K,1.0,1.845,1.414,1.136,x,x
K,2.0,197.542,218.048,225.123,214.845,267.744
L,0.0,5.967,12.427,6.374,9.178,13.734
L,1.0,2.084,2.852,2.199,3.648,1.863
L,2.0,47.921,68.946,53.852,41.173,62.601
M,0.0,88.911,86.582,105.88,85.945,94.938
M,1.0,3.969,2.269,0.822,4.562,3.375
M,2.0,410.03,364.245,450.46,481.449,441.16
N,0.0,28.041,34.84,31.236,35.703,39.802
N,1.0,59.455,68.869,59.323,74.749,56.375
N,2.0,153.93,178.881,146.526,162.804,168.459
O,0.0,26.096,26.595,37.255,37.321,37.133
O,1.0,2.629,2.602,1.239,0.837,0.942
O,2.0,185.779,177.724,188.362,206.655,202.59
P,0.0,20.151,14.129,9.336,12.598,17.31
P,1.0,1.746,6.381,2.856,5.331,5.303
P,2.0,402.764,442.785,447.474,408.704,456.824
Q,0.0,42.217,35.5,36.395,34.769,31.047
Q,1.0,4.853,8.745,15.164,4.917,7.257
Q,2.0,423.431,460.128,467.663,451.948,491.223
R,0.0,14.669,27.908,7.634,14.912,19.883
R,1.0,1.777,2.553,0.831,2.035,4.527
R,2.0,139.726,117.919,125.77,112.535,137.834
S,0.0,9.171,13.288,9.6,12.395,13.601
S,1.0,5.102,7.121,5.943,9.487,6.059
S,2.0,114.339,99.199,93.446,121.896,127.357
T,1.0,8.594,1.863,10.18,0.828,2.389
T,2.0,22.567,11.029,15.088,11.088,12.669
U,0.0,2.158,x,1.913,1.006,1.118
U,2.0,6.285,16.958,8.303,23.994,15.117
