AGE,RISK_CAT,2014,2015,2016,2017,2018
17,0.0,9.367553,16.427792,20.38625,21.136364,21.337086
17,1.0,18.869472,20.719099,11.50056,5.924693,11.66377
17,2.0,71.762976,62.853109,68.11319,72.938943,66.999144
22,0.0,26.309387,24.912285,25.29523,26.720449,24.968409
22,1.0,13.408224,11.811117,13.755592,11.871645,9.950543
22,2.0,60.282389,63.276598,60.949178,61.407906,65.081049
27,0.0,24.042116,25.494873,26.380098,24.395283,25.365337
27,1.0,12.555787,13.103863,11.540931,9.792226,8.673896
27,2.0,63.402097,61.401264,62.078971,65.812491,65.960767
32,0.0,23.829091,22.340349,25.530821,25.159247,23.702603
32,1.0,13.828533,13.800987,12.320376,12.329681,11.937231
32,2.0,62.342375,63.858664,62.148803,62.511073,64.360166
37,0.0,24.738827,23.289119,19.685181,21.353811,24.622964
37,1.0,13.299339,14.286245,14.155665,12.474164,12.047608
37,2.0,61.961834,62.424635,66.159155,66.172025,63.329429
42,0.0,23.437105,21.962995,22.35863,22.704258,20.73554
42,1.0,13.261577,14.740069,14.328521,13.547132,14.331393
42,2.0,63.301318,63.296936,63.312849,63.74861,64.933067
47,0.0,23.592797,24.252869,21.741366,21.097737,22.29086
47,1.0,13.59051,13.677027,14.736195,14.686603,14.353579
47,2.0,62.816693,62.070103,63.522439,64.21566,63.355561
52,0.0,23.049697,24.020876,24.265104,23.768366,22.459163
52,1.0,14.514516,14.198498,14.126408,14.580743,15.266473
52,2.0,62.435787,61.780626,61.608488,61.650891,62.274364
57,0.0,22.772498,22.020492,24.350838,26.538095,24.895387
57,1.0,13.239247,15.347441,13.274672,12.431499,13.026598
57,2.0,63.988255,62.632067,62.37449,61.030406,62.078015
62,0.0,18.464931,17.545033,18.500631,19.406061,22.145367
62,1.0,15.798464,13.873693,13.446105,13.241663,15.183813
62,2.0,65.736606,68.581274,68.053265,67.352276,62.67082
67,0.0,19.599736,19.865938,24.055039,20.04598,20.264997
67,1.0,10.754111,15.658274,12.891561,9.980367,12.197644
67,2.0,69.646153,64.475788,63.053401,69.973653,67.537359
72,0.0,19.392101,12.013147,16.904606,21.444978,19.585631
72,1.0,7.425265,11.383373,6.516539,9.958823,7.052349
72,2.0,73.182634,76.603479,76.578855,68.5962,73.36202
77,0.0,18.076124,24.903515,34.622378,23.501209,8.352881
77,1.0,2.495872,11.784084,9.833204,5.145131,4.287888
77,2.0,79.428004,63.312401,55.544418,71.35366,87.359231
