INCDECIL,RISK_CAT,2014,2015,2016,2017,2018
1,0.0,19.105761,17.395642,19.824905,19.894431,19.276339
1,1.0,41.182288,43.092161,39.57422,37.048098,38.701795
1,2.0,39.711951,39.512198,40.600876,43.057471,42.021866
2,0.0,28.132497,27.324001,29.803601,27.606138,27.451252
2,1.0,23.771159,25.56398,21.863094,21.090601,21.894332
2,2.0,48.096344,47.112019,48.333305,51.303261,50.654417
3,0.0,26.443403,25.774118,25.877784,26.761384,25.574117
3,1.0,16.818583,19.731205,18.226053,16.515023,16.068895
3,2.0,56.738014,54.494677,55.896163,56.723592,58.356988
4,0.0,25.074256,23.743904,24.141352,24.543781,24.04439
4,1.0,14.486504,14.421047,13.654136,14.868017,15.064753
4,2.0,60.43924,61.83505,62.204512,60.588201,60.890857
5,0.0,26.180538,23.557322,22.515666,26.503356,25.950393
5,1.0,12.845964,12.71776,12.690227,9.841852,10.386936
5,2.0,60.973498,63.724917,64.794107,63.654792,63.662671
6,0.0,23.941756,25.31265,24.996444,25.316732,24.31554
6,1.0,10.631104,10.895722,11.697278,11.145993,10.685405
6,2.0,65.42714,63.791629,63.306278,63.537275,64.999055
7,0.0,24.397966,23.958807,22.424031,22.148638,22.490151
7,1.0,11.325488,11.040206,11.796247,10.098324,10.259517
7,2.0,64.276546,65.000987,65.779721,67.753039,67.250333
8,0.0,20.998184,21.49023,21.712826,20.263969,19.708906
8,1.0,10.499838,10.596861,11.779624,9.598558,11.006714
8,2.0,68.501978,67.91291,66.50755,70.137473,69.28438
9,0.0,21.547225,21.937822,22.047503,21.781395,20.854988
9,1.0,7.581719,7.548557,7.856069,7.927234,8.947013
9,2.0,70.871057,70.513621,70.096427,70.291371,70.197999
10,0.0,22.628734,23.245962,23.420165,23.83317,24.368515
10,1.0,3.478018,4.240065,3.561836,4.244773,5.68961
10,2.0,73.893248,72.513973,73.017999,71.922057,69.941876
99,0.0,22.237946,21.708534,21.141905,21.13964,21.717945
99,1.0,12.063922,13.078145,13.340112,12.956957,11.470612
99,2.0,65.698131,65.213321,65.517983,65.903403,66.811443
